date,price
2014 Mar 3 23 14 48,7
2014 Mar 3 23 29 12,7
2014 Mar 3 23 43 36,7
2014 Mar 3 23 58 00,8
2014 Mar 4 0 12 24,8
2014 Mar 4 0 26 48,8
2014 Mar 4 0 41 12,8
2014 Mar 4 0 55 36,9
2014 Mar 4 1 10 00,9
2014 Mar 4 1 24 24,9
2014 Mar 4 1 38 48,10
2014 Mar 4 1 53 12,10
2014 Mar 4 2 07 36,10
2014 Mar 4 2 22 00,11
2014 Mar 4 2 36 24,11
2014 Mar 4 2 50 48,11
2014 Mar 4 3 05 12,12
2014 Mar 4 3 19 36,12
2014 Mar 4 3 34 00,13
2014 Mar 4 3 48 24,13
2014 Mar 4 4 02 48,14
2014 Mar 4 4 17 12,14
2014 Mar 4 4 31 36,15
2014 Mar 4 4 46 00,15
2014 Mar 4 5 00 24,16
2014 Mar 4 5 14 48,16
2014 Mar 4 5 29 12,17
2014 Mar 4 5 43 36,17
2014 Mar 4 5 58 00,18
2014 Mar 4 6 12 24,19
2014 Mar 4 6 26 48,19
2014 Mar 4 6 41 12,20
2014 Mar 4 6 55 36,21
2014 Mar 4 7 10 00,21
2014 Mar 4 7 24 24,22
2014 Mar 4 7 38 48,23
2014 Mar 4 7 53 12,24
2014 Mar 4 8 07 36,25
2014 Mar 4 8 22 00,26
2014 Mar 4 8 36 24,27
2014 Mar 4 8 50 48,27
2014 Mar 4 9 05 12,28
2014 Mar 4 9 19 36,29
2014 Mar 4 9 34 00,31
2014 Mar 4 9 48 24,32
2014 Mar 4 10 02 48,33
2014 Mar 4 10 17 12,34
2014 Mar 4 10 31 36,35
2014 Mar 4 10 46 00,36
2014 Mar 4 11 00 24,38
2014 Mar 4 11 14 48,39
2014 Mar 4 11 29 12,41
2014 Mar 4 11 43 36,42
2014 Mar 4 11 58 00,44
2014 Mar 4 12 12 24,45
2014 Mar 4 12 26 48,47
2014 Mar 4 12 41 12,48
2014 Mar 4 12 55 36,50
2014 Mar 4 13 10 00,52
2014 Mar 4 13 24 24,54
2014 Mar 4 13 38 48,56
2014 Mar 4 13 53 12,58
2014 Mar 4 14 07 36,60
2014 Mar 4 14 22 00,62
2014 Mar 4 14 36 24,64
2014 Mar 4 14 50 48,67
2014 Mar 4 15 05 12,69
2014 Mar 4 15 19 36,72
2014 Mar 4 15 34 00,74
2014 Mar 4 15 48 24,77
2014 Mar 4 16 02 48,80
2014 Mar 4 16 17 12,83
2014 Mar 4 16 31 36,86
2014 Mar 4 16 46 00,89
2014 Mar 4 17 00 24,92
2014 Mar 4 17 14 48,95
2014 Mar 4 17 29 12,99
2014 Mar 4 17 43 36,103
2014 Mar 4 17 58 00,106
2014 Mar 4 18 12 24,110
2014 Mar 4 18 26 48,114
2014 Mar 4 18 41 12,118
2014 Mar 4 18 55 36,123
2014 Mar 4 19 10 00,127
2014 Mar 4 19 24 24,132
2014 Mar 4 19 38 48,137
2014 Mar 4 19 53 12,142
2014 Mar 4 20 07 36,147
2014 Mar 4 20 22 00,152
2014 Mar 4 20 36 24,158
2014 Mar 4 20 50 48,163
2014 Mar 4 21 05 12,169
2014 Mar 4 21 19 36,175
2014 Mar 4 21 34 00,182
2014 Mar 4 21 48 24,188
2014 Mar 4 22 02 48,195
2014 Mar 4 22 17 12,202
2014 Mar 4 22 31 36,210
2014 Mar 4 22 46 00,217
2014 Mar 4 23 00 24,225
2014 Mar 4 23 14 48,234
2014 Mar 4 23 29 12,242
2014 Mar 4 23 43 36,251
2014 Mar 4 23 58 00,260
2014 Mar 5 0 12 24,269
2014 Mar 5 0 26 48,279
2014 Mar 5 0 41 12,289
2014 Mar 5 0 55 36,300
2014 Mar 5 1 10 00,311
2014 Mar 5 1 24 24,322
2014 Mar 5 1 38 48,334
2014 Mar 5 1 53 12,346
2014 Mar 5 2 07 36,359
2014 Mar 5 2 22 00,372
2014 Mar 5 2 36 24,385
2014 Mar 5 2 50 48,399
2014 Mar 5 3 05 12,414
2014 Mar 5 3 19 36,429
2014 Mar 5 3 34 00,444
2014 Mar 5 3 48 24,460
2014 Mar 5 4 02 48,477
2014 Mar 5 4 17 12,494
2014 Mar 5 4 31 36,512
2014 Mar 5 4 46 00,531
2014 Mar 5 5 00 24,550
2014 Mar 5 5 14 48,570
2014 Mar 5 5 29 12,590
2014 Mar 5 5 43 36,612
2014 Mar 5 5 58 00,634
2014 Mar 5 6 12 24,657
2014 Mar 5 6 26 48,680
2014 Mar 5 6 41 12,705
2014 Mar 5 6 55 36,731
2014 Mar 5 7 10 00,757
2014 Mar 5 7 24 24,784
2014 Mar 5 7 38 48,812
2014 Mar 5 7 53 12,842
2014 Mar 5 8 07 36,872
2014 Mar 5 8 22 00,903
2014 Mar 5 8 36 24,936
2014 Mar 5 8 50 48,969
2014 Mar 5 9 05 12,1004
2014 Mar 5 9 19 36,1040
2014 Mar 5 9 34 00,1078
2014 Mar 5 9 48 24,1116
